Date,Price,Open,High,Low,Vol.,Change 
03/01/2007,1420.86,1406.80,1438.89,1363.98,,1.00
02/01/2007,1406.82,1437.90,1461.57,1389.42,,-2.18
01/01/2007,1438.24,1418.03,1441.61,1403.97,,1.41
12/01/2006,1418.30,1400.63,1431.81,1385.93,,1.26
11/01/2006,1400.63,1377.76,1407.89,1360.98,,1.65
10/01/2006,1377.94,1335.82,1389.45,1327.10,,3.15
09/01/2006,1335.85,1303.80,1340.28,1290.93,,2.46
08/01/2006,1303.82,1278.53,1306.74,1261.30,,2.13
07/01/2006,1276.66,1270.06,1280.42,1224.54,,0.51
06/01/2006,1270.20,1270.05,1290.68,1219.29,,0.01
05/01/2006,1270.09,1310.61,1326.70,1245.34,,-3.09
04/01/2006,1310.61,1302.88,1318.16,1280.74,,1.22
03/01/2006,1294.83,1280.66,1310.88,1268.42,,1.11
02/01/2006,1280.66,1280.08,1297.57,1253.61,,0.05
01/01/2006,1280.08,1248.29,1294.90,1245.74,,2.55
12/01/2005,1248.29,1249.48,1275.80,1246.59,,-0.10
11/01/2005,1249.48,1207.01,1270.64,1201.07,,3.52
10/01/2005,1207.01,1228.81,1233.34,1168.20,,-1.77
09/01/2005,1228.81,1220.33,1243.13,1205.35,,0.69
08/01/2005,1220.33,1234.18,1245.86,1201.07,,-1.12
07/01/2005,1234.18,1191.33,1245.15,1183.55,,3.60
06/01/2005,1191.33,1191.50,1219.59,1188.30,,-0.01
05/01/2005,1191.50,1156.85,1199.56,1146.18,,3.00
04/01/2005,1156.85,1180.59,1191.88,1136.15,,-2.01
03/01/2005,1180.59,1203.60,1229.11,1163.69,,-1.91
02/01/2005,1203.60,1181.27,1212.44,1180.95,,1.89
01/01/2005,1181.27,1211.92,1217.90,1163.75,,-2.53
12/01/2004,1211.92,1173.78,1217.33,1173.76,,3.25
11/01/2004,1173.82,1130.20,1188.46,1127.53,,3.86
10/01/2004,1130.20,1114.58,1142.05,1090.19,,1.40
09/01/2004,1114.58,1104.24,1131.54,1099.11,,0.94
08/01/2004,1104.24,1101.72,1109.68,1060.72,,0.23
07/01/2004,1101.72,1140.84,1140.84,1078.78,,-3.43
06/01/2004,1140.84,1120.68,1146.34,1113.32,,1.80
05/01/2004,1120.68,1107.30,1127.74,1076.32,,1.21
04/01/2004,1107.30,1126.21,1150.57,1107.23,,-1.68
03/01/2004,1126.21,1144.94,1163.23,1087.06,,-1.64
02/01/2004,1144.94,1131.13,1158.98,1124.44,,1.22
01/01/2004,1131.13,1111.92,1155.38,1105.08,,1.73
12/01/2003,1111.92,1058.20,1112.56,1053.41,,5.08
11/01/2003,1058.20,1050.71,1063.65,1031.20,,0.71
10/01/2003,1050.71,995.97,1053.79,995.97,,5.50
09/01/2003,995.97,1008.01,1040.29,990.36,,-1.19
08/01/2003,1008.01,990.31,1011.01,960.84,,1.48
07/01/2003,993.32,974.50,1015.41,962.10,,1.93
06/01/2003,974.50,963.59,1015.33,963.59,,1.13
05/01/2003,963.59,916.92,965.38,902.83,,5.09
04/01/2003,916.92,848.18,924.24,847.85,,8.10
03/01/2003,848.18,841.15,895.90,788.90,,0.84
02/01/2003,841.15,855.70,864.64,806.29,,-1.70
01/01/2003,855.70,879.82,935.05,840.34,,-2.74
12/01/2002,879.82,936.31,954.28,869.45,,-6.03
11/01/2002,936.31,885.76,941.82,872.05,,5.71
10/01/2002,885.76,815.28,907.44,768.63,,8.64
09/01/2002,815.28,916.07,924.02,800.20,,-11.00
08/01/2002,916.07,911.62,965.00,833.44,,0.49
07/01/2002,911.62,989.82,994.46,775.68,,-7.90
06/01/2002,989.82,1067.14,1070.74,952.92,,-7.25
