Date,Price,Open,High,Low,Change 
09/01/2018,1.507,1.487,1.561,1.431,1.34
08/01/2018,1.487,1.424,1.532,1.353,5.16
07/01/2018,1.414,1.343,1.444,1.254,6.32
06/01/2018,1.330,1.441,1.515,1.226,-10.26
05/01/2018,1.482,1.276,1.674,1.230,15.96
04/01/2018,1.278,1.166,1.325,1.158,10.65
03/01/2018,1.155,1.542,1.564,1.154,-24.80
02/01/2018,1.536,1.430,1.615,1.357,8.32
01/01/2018,1.418,1.571,1.626,1.337,-9.68
12/01/2017,1.570,1.452,1.570,1.379,8.35
11/01/2017,1.449,1.456,1.568,1.403,-0.69
10/01/2017,1.459,1.686,1.810,1.456,-9.38
09/01/2017,1.610,1.433,1.686,1.407,11.42
08/01/2017,1.445,1.498,1.531,1.389,-3.09
07/01/2017,1.491,1.525,1.745,1.429,-2.55
06/01/2017,1.530,1.551,1.594,1.331,-1.03
05/01/2017,1.546,1.688,1.706,1.500,-6.19
04/01/2017,1.648,1.678,1.745,1.575,-0.54
03/01/2017,1.657,1.670,1.938,1.623,-0.24
02/01/2017,1.661,1.634,1.818,1.585,4.20
01/01/2017,1.594,1.408,1.656,1.294,14.35
12/01/2016,1.394,1.560,1.647,1.308,-10.30
11/01/2016,1.554,1.248,1.707,1.196,29.28
10/01/2016,1.202,0.902,1.281,0.865,36.75
09/01/2016,0.879,1.018,1.137,0.874,-13.31
08/01/2016,1.014,1.017,1.099,0.909,-0.69
07/01/2016,1.021,1.143,1.250,1.012,-9.33
06/01/2016,1.126,1.485,1.742,1.110,-23.71
05/01/2016,1.476,1.578,1.646,1.465,-7.34
04/01/2016,1.593,1.456,1.671,1.429,11.01
03/01/2016,1.435,1.526,1.613,1.377,-6.33
02/01/2016,1.532,1.502,1.863,1.492,1.19
01/01/2016,1.514,1.732,1.852,1.510,-14.99
12/01/2015,1.781,1.549,1.888,1.454,16.79
11/01/2015,1.525,1.706,1.997,1.508,-8.90
10/01/2015,1.674,1.891,1.891,1.558,-11.76
09/01/2015,1.897,2.088,2.179,1.882,-10.35
08/01/2015,2.116,1.959,2.131,1.887,15.06
07/01/2015,1.839,2.286,2.393,1.835,-20.36
06/01/2015,2.309,1.851,2.534,1.847,25.49
05/01/2015,1.840,1.526,2.006,1.459,22.67
04/01/2015,1.500,1.222,1.604,1.167,21.95
03/01/2015,1.230,1.250,1.400,1.052,-2.15
02/01/2015,1.257,1.407,1.671,1.245,-13.90
01/01/2015,1.460,1.542,1.745,1.257,-9.32
12/01/2014,1.610,1.903,1.904,1.588,-15.66
11/01/2014,1.909,2.086,2.196,1.876,-9.31
10/01/2014,2.105,2.132,2.417,2.020,-3.04
09/01/2014,2.171,2.198,2.421,2.045,-2.56
08/01/2014,2.228,2.525,2.649,2.083,-11.27
