Date,Price,Open,High,Low,Change 
12/01/2009,3.4010,3.1440,3.4110,3.1080,7.63
11/01/2009,3.1600,3.2300,3.3970,3.1020,-2.50
10/01/2009,3.2410,3.2310,3.3880,3.0930,1.09
09/01/2009,3.2060,3.2570,3.4380,3.2000,-1.90
08/01/2009,3.2680,3.3170,3.5260,3.2220,-1.09
07/01/2009,3.3040,3.4040,3.5220,3.2450,-2.39
06/01/2009,3.3850,3.6080,3.7460,3.3590,-6.28
05/01/2009,3.6120,3.2020,3.6870,3.1750,13.48
04/01/2009,3.1830,3.0130,3.2880,2.9670,6.21
03/01/2009,2.9970,3.0580,3.2580,2.8910,-3.04
02/01/2009,3.0910,3.2850,3.4440,2.9440,-5.68
01/01/2009,3.2770,3.0120,3.3640,2.8560,11.20
12/01/2008,2.9470,3.2610,3.2970,2.8880,-9.35
11/01/2008,3.2510,3.9180,3.9180,3.2330,-16.17
10/01/2008,3.8780,4.0050,4.1570,3.6770,-3.77
09/01/2008,4.0300,4.1740,4.2850,3.9290,-3.45
08/01/2008,4.1740,4.3540,4.3900,4.0820,-4.09
07/01/2008,4.3520,4.6190,4.7040,4.3280,-5.96
06/01/2008,4.6280,4.4490,4.6980,4.2610,3.91
05/01/2008,4.4540,4.1200,4.4830,3.9800,8.21
04/01/2008,4.1160,3.9040,4.2470,3.8910,5.51
03/01/2008,3.9010,3.8700,3.9750,3.6690,0.70
02/01/2008,3.8740,3.9170,4.1040,3.8240,-1.50
01/01/2008,3.9330,4.3220,4.3680,3.7830,-9.04
12/01/2007,4.3240,4.1290,4.3820,4.0270,3.97
11/01/2007,4.1590,4.3090,4.3330,3.9930,-3.05
10/01/2007,4.2900,4.3400,4.4520,4.1300,-1.24
09/01/2007,4.3440,4.2630,4.4130,4.0620,3.04
08/01/2007,4.2160,4.2160,4.2160,4.2160,-2.59
07/01/2007,4.3280,4.3280,4.3280,4.3280,-4.98
06/01/2007,4.5550,4.5550,4.5550,4.5550,3.81
05/01/2007,4.3880,4.3880,4.3880,4.3880,4.01
04/01/2007,4.2190,4.2190,4.2190,4.2190,3.89
03/01/2007,4.0610,4.0610,4.0610,4.0610,3.54
02/01/2007,3.9220,3.9220,3.9220,3.9220,-4.41
01/01/2007,4.1030,4.1030,4.1030,4.1030,3.98
12/01/2006,3.9460,3.9460,3.9460,3.9460,6.91
11/01/2006,3.6910,3.6910,3.6910,3.6910,-2.53
10/01/2006,3.7870,3.7870,3.7870,3.7870,2.88
09/01/2006,3.6810,3.6810,3.6810,3.6810,-3.23
08/01/2006,3.8040,3.8040,3.8040,3.8040,-3.03
07/01/2006,3.9230,3.9230,3.9230,3.9230,-3.23
06/01/2006,4.0540,4.0540,4.0540,4.0540,3.10
05/01/2006,3.9320,3.9320,3.9320,3.9320,-0.96
04/01/2006,3.9700,3.9700,3.9700,3.9700,4.72
03/01/2006,3.7910,3.7910,3.7910,3.7910,7.49
02/01/2006,3.5270,3.5270,3.5270,3.5270,2.05
01/01/2006,3.4560,3.4560,3.4560,3.4560,4.89
12/01/2005,3.2950,3.2950,3.2950,3.2950,-4.52
11/01/2005,3.4510,3.4510,3.4510,3.4510,1.17
10/01/2005,3.4110,3.4110,3.4110,3.4110,8.15
09/01/2005,3.1540,3.1540,3.1540,3.1540,0.03
08/01/2005,3.1530,3.1530,3.1530,3.1530,-2.02
07/01/2005,3.2180,3.2180,3.2180,3.2180,0.75
06/01/2005,3.1940,3.1940,3.1940,3.1940,-4.17
05/01/2005,3.3330,3.3330,3.3330,3.3330,-1.65
04/01/2005,3.3890,3.3890,3.3890,3.3890,-7.61
03/01/2005,3.6680,3.6680,3.6680,3.6680,-1.16
02/01/2005,3.7110,3.7110,3.7110,3.7110,4.83
01/01/2005,3.5400,3.5400,3.5400,3.5400,-3.80
12/01/2004,3.6800,3.6800,3.6800,3.6800,-3.61
11/01/2004,3.8180,3.8180,3.8180,3.8180,-1.09
10/01/2004,3.8600,3.8600,3.8600,3.8600,-2.65
09/01/2004,3.9650,3.9650,3.9650,3.9650,-2.58
08/01/2004,4.0700,4.0700,4.0700,4.0700,-4.68
07/01/2004,4.2700,4.2700,4.2700,4.2700,-2.02
06/01/2004,4.3580,4.3580,4.3580,4.3580,0.88
05/01/2004,4.3200,4.3200,4.3200,4.3200,2.56
04/01/2004,4.2120,4.2120,4.2120,4.2120,6.96
03/01/2004,3.9380,3.9380,3.9380,3.9380,-3.57
02/01/2004,4.0840,4.0840,4.0840,4.0840,-3.75
01/01/2004,4.2430,4.2430,4.2430,4.2430,-1.14
12/01/2003,4.2920,4.2920,4.2920,4.2920,-3.59
11/01/2003,4.4520,4.4520,4.4520,4.4520,2.94
10/01/2003,4.3250,4.3250,4.3250,4.3250,8.02
