Date,Price,Open,High,Low,Vol.,Change 
12/01/2014,58.21,70.68,73.40,56.65,2.91,-17.53
11/01/2014,70.58,86.31,86.90,70.21,2.96,-18.25
10/01/2014,86.34,95.62,96.78,82.93,4.57,-9.42
09/01/2014,95.32,103.62,103.87,94.87,3.46,-8.14
08/01/2014,103.77,106.11,107.45,101.87,3.03,-2.59
07/01/2014,106.53,111.80,112.54,105.59,4.21,-4.94
06/01/2014,112.07,108.74,115.09,107.11,3.51,3.12
05/01/2014,108.68,107.53,110.16,106.32,2.89,1.07
04/01/2014,107.53,107.40,110.28,103.96,3.03,-0.11
03/01/2014,107.65,108.93,111.87,105.26,2.97,-0.90
02/01/2014,108.63,105.75,110.47,104.78,2.55,2.67
01/01/2014,105.81,110.74,111.07,104.98,3.40,-4.27
12/01/2013,110.53,109.33,112.50,107.61,2.27,1.10
11/01/2013,109.33,108.82,111.14,103.13,3.08,0.64
10/01/2013,108.63,107.63,111.30,105.97,3.68,1.12
09/01/2013,107.43,112.32,114.85,106.30,3.54,-4.35
08/01/2013,112.32,106.91,115.76,104.59,3.18,5.06
07/01/2013,106.91,101.66,108.68,101.23,3.03,5.10
06/01/2013,101.72,99.97,106.31,99.35,2.61,1.52
05/01/2013,100.20,101.28,105.42,98.32,3.06,-1.80
04/01/2013,102.04,109.83,111.53,96.76,3.70,-7.06
03/01/2013,109.79,109.93,111.29,106.50,3.16,-0.57
02/01/2013,110.42,114.90,118.27,109.91,2.51,-3.60
01/01/2013,114.54,110.10,114.74,108.70,3.23,4.23
12/01/2012,109.89,110.18,111.35,105.80,2.11,-0.33
11/01/2012,110.25,107.42,111.38,104.09,2.78,2.50
10/01/2012,107.56,111.39,114.95,105.93,3.38,-3.60
09/01/2012,111.58,114.07,117.37,106.49,3.06,-2.17
08/01/2012,114.05,103.70,115.75,102.97,2.83,9.83
07/01/2012,103.84,97.83,107.40,95.35,3.01,6.09
06/01/2012,97.88,101.31,101.95,88.91,3.19,-3.50
05/01/2012,101.43,119.15,119.70,100.90,3.04,-15.10
04/01/2012,119.47,122.94,125.97,116.70,3.80,-2.78
03/01/2012,122.88,123.00,128.40,120.97,3.79,0.18
02/01/2012,122.66,111.30,125.55,111.02,3.83,10.52
01/01/2012,110.98,108.35,115.12,108.35,3.76,3.35
12/01/2011,107.38,110.75,111.62,102.37,2.68,-2.84
11/01/2011,110.52,109.09,116.48,105.65,4.26,0.88
10/01/2011,109.56,102.00,114.80,99.11,4.03,6.62
09/01/2011,102.76,114.85,116.60,101.66,4.08,-10.53
08/01/2011,114.85,117.00,120.40,98.74,4.95,-1.62
07/01/2011,116.74,111.80,119.87,109.50,3.29,3.79
06/01/2011,112.48,117.07,121.47,102.28,4.72,-3.64
05/01/2011,116.73,126.10,126.54,105.15,4.61,-7.28
04/01/2011,125.89,117.61,127.02,116.75,3.08,7.27
03/01/2011,117.36,111.90,118.50,107.35,3.76,4.97
02/01/2011,111.80,101.01,119.79,97.51,3.68,10.68
01/01/2011,101.01,94.75,101.73,92.37,3.58,6.61
12/01/2010,94.75,85.71,95.20,85.41,2.61,10.28
11/01/2010,85.92,83.13,89.70,82.43,3.58,3.33
10/01/2010,83.15,82.21,86.02,80.75,3.50,1.02
09/01/2010,82.31,74.46,82.40,74.42,3.24,10.28
08/01/2010,74.64,78.11,82.86,71.75,3.28,-4.53
07/01/2010,78.18,74.65,78.31,70.77,2.92,4.23
06/01/2010,75.01,74.82,79.86,70.50,3.38,0.48
05/01/2010,74.65,87.44,89.58,68.15,3.47,-14.63
04/01/2010,87.44,82.44,87.75,82.22,3.12,5.73
03/01/2010,82.70,77.69,82.82,76.21,3.38,6.59
02/01/2010,77.59,71.35,78.94,67.87,3.29,8.58
01/01/2010,71.46,78.49,82.45,71.02,2.81,-8.30
12/01/2009,77.93,78.42,79.91,71.02,2.46,-0.69
11/01/2009,78.47,75.24,80.14,73.70,2.92,4.35
10/01/2009,75.20,68.92,80.26,65.90,2.94,8.88
09/01/2009,69.07,69.65,72.20,64.08,2.75,-0.83
08/01/2009,69.65,71.98,76.00,68.85,2.15,-2.86
07/01/2009,71.70,69.90,72.12,59.49,2.49,3.46
06/01/2009,69.30,65.77,73.50,64.91,2.39,5.77
05/01/2009,65.52,50.70,65.80,49.96,1.95,28.98
04/01/2009,50.80,48.37,54.31,47.26,2.04,3.19
03/01/2009,49.23,45.56,53.86,41.30,2.18,6.21
02/01/2009,46.35,46.06,48.42,39.35,1.93,1.02
01/01/2009,45.88,43.85,52.21,41.60,2.16,0.64
12/01/2008,45.59,53.00,53.00,36.20,1.87,-14.77
11/01/2008,53.49,64.30,67.76,47.40,2.12,-18.11
10/01/2008,65.32,99.45,100.31,59.02,2.39,-33.46
09/01/2008,98.17,115.50,115.56,88.90,2.35,-13.92
08/01/2008,114.05,123.42,127.94,110.31,2.00,-8.01
07/01/2008,123.98,140.44,147.50,120.88,2.14,-11.34
06/01/2008,139.83,127.22,143.91,121.32,2.15,9.43
05/01/2008,127.78,112.74,135.14,108.42,2.34,14.74
04/01/2008,111.36,100.50,117.56,98.99,2.34,11.03
03/01/2008,100.30,100.12,108.02,96.92,2.22,0.20
02/01/2008,100.10,91.50,101.27,86.83,2.23,8.56
01/01/2008,92.21,94.47,98.50,85.00,2.27,-1.75
12/01/2007,93.85,88.74,95.87,86.56,1.56,6.33
11/01/2007,88.26,90.94,96.65,87.55,2.22,-2.62
10/01/2007,90.63,79.25,91.18,75.64,2.11,14.48
09/01/2007,79.17,72.69,81.05,72.69,1.79,8.91
08/01/2007,72.69,76.95,77.16,68.14,1.81,-5.66
07/01/2007,77.05,71.22,78.40,70.92,1.59,7.90
06/01/2007,71.41,68.15,72.25,67.61,1.72,4.95
05/01/2007,68.04,67.53,71.80,63.80,2.03,0.58
04/01/2007,67.65,67.91,69.59,64.76,1.49,-0.66
03/01/2007,68.10,61.75,69.14,59.79,1.86,10.03
02/01/2007,61.89,57.16,62.18,56.10,1.77,7.82
01/01/2007,57.40,60.88,61.64,50.75,2.11,-5.69
12/01/2006,60.86,63.80,64.92,60.04,1.16,-5.29
11/01/2006,64.26,58.85,64.77,57.75,1.73,8.86
10/01/2006,59.03,62.70,62.82,57.39,1.85,-5.52
09/01/2006,62.48,70.42,70.66,59.32,1.51,-11.06
08/01/2006,70.25,75.15,78.65,68.82,1.36,-6.52
07/01/2006,75.15,73.26,78.18,72.11,1.56,2.23
06/01/2006,73.51,70.25,73.69,66.33,1.54,4.40
05/01/2006,70.41,71.98,74.97,67.63,1.56,-2.88
04/01/2006,72.50,66.30,74.79,65.73,1.31,10.00
03/01/2006,65.91,61.95,67.05,59.26,1.41,6.72
02/01/2006,61.76,65.76,67.27,57.90,1.20,-6.41
01/01/2006,65.99,59.35,67.32,59.08,1.38,11.89
