Date,Price,Open,High,Low,Change 
06/01/2018,2.688,2.627,3.140,2.509,-5.22
05/01/2018,2.836,1.780,3.388,1.713,61.41
04/01/2018,1.757,1.792,1.825,1.713,-1.68
03/01/2018,1.787,2.074,2.128,1.783,-13.59
02/01/2018,2.068,2.031,2.193,1.904,2.33
01/01/2018,2.021,2.014,2.102,1.874,1.15
12/01/2017,1.998,1.743,2.002,1.633,14.76
11/01/2017,1.741,1.814,1.858,1.696,-4.60
10/01/2017,1.825,2.208,2.282,1.824,-15.94
09/01/2017,2.171,2.025,2.256,1.901,6.32
08/01/2017,2.042,2.096,2.166,1.967,-2.34
07/01/2017,2.091,2.140,2.345,2.022,-2.97
06/01/2017,2.155,2.197,2.300,1.853,-2.00
05/01/2017,2.199,2.332,2.355,2.093,-3.59
04/01/2017,2.281,2.328,2.358,2.151,-1.34
03/01/2017,2.312,2.117,2.598,2.091,10.89
02/01/2017,2.085,2.297,2.393,2.074,-7.70
01/01/2017,2.259,1.803,2.349,1.720,24.19
12/01/2016,1.819,1.985,2.126,1.769,-8.55
11/01/2016,1.989,1.700,2.228,1.657,18.68
10/01/2016,1.676,1.211,1.710,1.206,40.96
09/01/2016,1.189,1.151,1.350,1.050,3.39
08/01/2016,1.150,1.165,1.238,1.045,-1.54
07/01/2016,1.168,1.223,1.306,1.164,-8.27
06/01/2016,1.273,1.368,1.585,1.250,-6.90
05/01/2016,1.368,1.471,1.535,1.339,-9.09
04/01/2016,1.504,1.235,1.566,1.208,22.73
03/01/2016,1.226,1.415,1.486,1.208,-12.89
02/01/2016,1.407,1.399,1.774,1.392,-1.85
01/01/2016,1.434,1.558,1.703,1.419,-10.43
12/01/2015,1.601,1.444,1.720,1.364,12.17
11/01/2015,1.427,1.524,1.829,1.383,-4.87
10/01/2015,1.500,1.727,1.728,1.395,-13.19
09/01/2015,1.728,1.939,2.009,1.704,-10.74
08/01/2015,1.936,1.790,1.998,1.730,8.58
07/01/2015,1.783,2.304,2.376,1.783,-22.58
06/01/2015,2.303,1.867,2.454,1.862,24.28
05/01/2015,1.853,1.534,2.046,1.482,21.75
04/01/2015,1.522,1.248,1.619,1.187,21.47
03/01/2015,1.253,1.340,1.429,1.041,-6.63
02/01/2015,1.342,1.619,1.731,1.324,-19.83
01/01/2015,1.674,1.830,1.933,1.493,-10.91
12/01/2014,1.879,2.036,2.102,1.878,-8.16
11/01/2014,2.046,2.351,2.441,2.025,-13.96
10/01/2014,2.378,2.333,2.752,2.262,0.55
09/01/2014,2.365,2.398,2.508,2.257,-2.87
08/01/2014,2.435,2.718,2.910,2.343,-9.71
07/01/2014,2.697,2.736,2.954,2.625,-1.53
06/01/2014,2.739,2.964,3.019,2.703,-7.62
05/01/2014,2.965,3.065,3.272,2.885,-3.70
04/01/2014,3.079,3.298,3.351,3.070,-6.73
03/01/2014,3.301,3.474,3.497,3.261,-5.12
02/01/2014,3.479,3.763,3.809,3.451,-8.06
01/01/2014,3.784,4.085,4.088,3.770,-7.39
12/01/2013,4.086,4.053,4.266,4.035,0.86
11/01/2013,4.051,4.112,4.213,4.026,-2.20
10/01/2013,4.142,4.585,4.588,4.085,-9.80
09/01/2013,4.592,4.403,4.710,4.300,4.74
08/01/2013,4.384,4.371,4.466,4.146,-0.66
07/01/2013,4.413,4.528,4.599,4.287,-2.80
06/01/2013,4.540,4.178,4.899,4.080,9.53
05/01/2013,4.145,3.873,4.223,3.679,6.58
04/01/2013,3.889,4.726,4.733,3.858,-17.92
03/01/2013,4.738,4.734,4.873,4.431,-0.59
02/01/2013,4.766,4.300,4.939,4.171,10.76
01/01/2013,4.303,4.437,4.448,4.071,-5.01
12/01/2012,4.530,4.510,4.904,4.350,0.47
11/01/2012,4.509,4.978,5.091,4.478,-9.11
10/01/2012,4.961,5.186,5.187,4.701,-3.93
09/01/2012,5.164,5.164,5.164,5.164,-11.61
08/01/2012,5.842,5.842,5.842,5.842,-3.99
07/01/2012,6.085,6.085,6.085,6.085,5.19
06/01/2012,5.785,5.785,5.785,5.785,-4.09
05/01/2012,6.032,6.032,6.032,6.032,9.39
04/01/2012,5.514,5.514,5.514,5.514,7.70
03/01/2012,5.120,5.120,5.120,5.120,-1.39
02/01/2012,5.192,5.192,5.192,5.192,-13.00
01/01/2012,5.968,5.968,5.968,5.968,-15.17
12/01/2011,7.035,7.035,7.035,7.035,-0.62
11/01/2011,7.079,7.079,7.079,7.079,15.80
10/01/2011,6.113,6.113,6.113,6.113,10.24
09/01/2011,5.545,5.545,5.545,5.545,8.11
08/01/2011,5.129,5.129,5.129,5.129,-13.27
07/01/2011,5.914,5.914,5.914,5.914,20.94
06/01/2011,4.890,4.890,4.890,4.890,2.30
05/01/2011,4.780,4.780,4.780,4.780,0.99
04/01/2011,4.733,4.733,4.733,4.733,-1.89
03/01/2011,4.824,4.824,4.824,4.824,-0.31
02/01/2011,4.839,4.839,4.839,4.839,2.46
01/01/2011,4.723,4.723,4.723,4.723,-2.42
12/01/2010,4.840,4.840,4.840,4.840,3.37
11/01/2010,4.682,4.682,4.682,4.682,20.17
10/01/2010,3.896,3.896,3.896,3.896,0.93
09/01/2010,3.860,3.860,3.860,3.860,2.74
08/01/2010,3.757,3.757,3.757,3.757,-4.96
07/01/2010,3.953,3.953,3.953,3.953,-3.40
06/01/2010,4.092,4.092,4.092,4.092,-1.52
05/01/2010,4.155,4.155,4.155,4.155,4.29
04/01/2010,3.984,3.984,3.984,3.984,2.89
03/01/2010,3.872,3.872,3.872,3.872,-3.37
02/01/2010,4.007,4.007,4.007,4.007,-2.48
01/01/2010,4.109,4.109,4.109,4.109,-1.04
12/01/2009,4.152,4.152,4.152,4.152,3.33
11/01/2009,4.018,4.018,4.018,4.018,1.77
10/01/2009,3.948,3.948,3.948,3.948,-1.40
09/01/2009,4.004,4.004,4.004,4.004,-1.72
08/01/2009,4.074,4.074,4.074,4.074,-1.97
07/01/2009,4.156,4.156,4.156,4.156,-6.59
06/01/2009,4.449,4.449,4.449,4.449,-3.83
05/01/2009,4.626,4.626,4.626,4.626,8.16
04/01/2009,4.277,4.277,4.277,4.277,-2.51
03/01/2009,4.387,4.387,4.387,4.387,-5.64
02/01/2009,4.649,4.649,4.649,4.649,-0.81
01/01/2009,4.687,4.687,4.687,4.687,7.11
12/01/2008,4.376,4.376,4.376,4.376,-1.86
11/01/2008,4.459,4.459,4.459,4.459,-9.96
10/01/2008,4.952,4.952,4.952,4.952,1.25
09/01/2008,4.891,4.891,4.891,4.891,1.41
08/01/2008,4.823,4.823,4.823,4.823,-2.78
07/01/2008,4.961,4.961,4.961,4.961,-5.09
06/01/2008,5.227,5.227,5.227,5.227,7.42
05/01/2008,4.866,4.866,4.866,4.866,6.55
04/01/2008,4.567,4.567,4.567,4.567,3.33
03/01/2008,4.420,4.420,4.420,4.420,2.55
02/01/2008,4.310,4.310,4.310,4.310,0.07
01/01/2008,4.307,4.307,4.307,4.307,-7.97
12/01/2007,4.680,4.680,4.680,4.680,4.25
11/01/2007,4.489,4.489,4.489,4.489,-1.56
10/01/2007,4.560,4.560,4.560,4.560,-0.76
09/01/2007,4.595,4.595,4.595,4.595,1.48
08/01/2007,4.528,4.528,4.528,4.528,-1.89
07/01/2007,4.615,4.615,4.615,4.615,-3.73
06/01/2007,4.794,4.794,4.794,4.794,3.99
05/01/2007,4.610,4.610,4.610,4.610,5.44
04/01/2007,4.372,4.372,4.372,4.372,2.13
03/01/2007,4.281,4.281,4.281,4.281,1.98
02/01/2007,4.198,4.198,4.198,4.198,-2.82
01/01/2007,4.320,4.320,4.320,4.320,2.39
12/01/2006,4.219,4.219,4.219,4.219,7.22
11/01/2006,3.935,3.935,3.935,3.935,-1.33
10/01/2006,3.988,3.988,3.988,3.988,-0.08
09/01/2006,3.991,3.991,3.991,3.991,-1.09
08/01/2006,4.035,4.035,4.035,4.035,-4.13
07/01/2006,4.209,4.209,4.209,4.209,-3.71
06/01/2006,4.371,4.371,4.371,4.371,1.72
05/01/2006,4.297,4.297,4.297,4.297,0.82
04/01/2006,4.262,4.262,4.262,4.262,4.61
03/01/2006,4.074,4.074,4.074,4.074,10.08
02/01/2006,3.701,3.701,3.701,3.701,0.27
01/01/2006,3.691,3.691,3.691,3.691,5.01
12/01/2005,3.515,3.515,3.515,3.515,-2.95
11/01/2005,3.622,3.622,3.622,3.622,0.84
10/01/2005,3.592,3.592,3.592,3.592,7.06
09/01/2005,3.355,3.355,3.355,3.355,1.64
08/01/2005,3.301,3.301,3.301,3.301,-4.26
07/01/2005,3.448,3.448,3.448,3.448,3.11
06/01/2005,3.344,3.344,3.344,3.344,-3.91
05/01/2005,3.480,3.480,3.480,3.480,-2.44
04/01/2005,3.567,3.567,3.567,3.567,-5.01
03/01/2005,3.755,3.755,3.755,3.755,-2.37
02/01/2005,3.846,3.846,3.846,3.846,5.11
01/01/2005,3.659,3.659,3.659,3.659,-4.29
12/01/2004,3.823,3.823,3.823,3.823,-2.62
11/01/2004,3.926,3.926,3.926,3.926,-2.36
10/01/2004,4.021,4.021,4.021,4.021,-3.29
09/01/2004,4.158,4.158,4.158,4.158,-1.05
08/01/2004,4.202,4.202,4.202,4.202,-4.35
07/01/2004,4.393,4.393,4.393,4.393,-2.16
06/01/2004,4.490,4.490,4.490,4.490,-1.51
05/01/2004,4.559,4.559,4.559,4.559,3.85
04/01/2004,4.390,4.390,4.390,4.390,5.45
03/01/2004,4.163,4.163,4.163,4.163,-0.19
02/01/2004,4.171,4.171,4.171,4.171,-4.55
01/01/2004,4.370,4.370,4.370,4.370,-1.40
12/01/2003,4.432,4.432,4.432,4.432,-3.21
11/01/2003,4.579,4.579,4.579,4.579,3.04
10/01/2003,4.444,4.444,4.444,4.444,7.01
09/01/2003,4.153,4.153,4.153,4.153,-3.55
08/01/2003,4.306,4.306,4.306,4.306,-1.06
07/01/2003,4.352,4.352,4.352,4.352,9.73
06/01/2003,3.966,3.966,3.966,3.966,3.52
05/01/2003,3.831,3.831,3.831,3.831,-9.02
04/01/2003,4.211,4.211,4.211,4.211,0.17
03/01/2003,4.204,4.204,4.204,4.204,3.37
02/01/2003,4.067,4.067,4.067,4.067,-4.93
01/01/2003,4.278,4.278,4.278,4.278,-3.17
12/01/2002,4.418,4.418,4.418,4.418,-5.94
11/01/2002,4.697,4.697,4.697,4.697,-0.93
10/01/2002,4.741,4.741,4.741,4.741,5.38
09/01/2002,4.499,4.499,4.499,4.499,-5.90
08/01/2002,4.781,4.781,4.781,4.781,-4.42
07/01/2002,5.002,5.002,5.002,5.002,-3.73
06/01/2002,5.196,5.196,5.196,5.196,-4.06
05/01/2002,5.416,5.416,5.416,5.416,0.78
04/01/2002,5.374,5.374,5.374,5.374,-2.29
03/01/2002,5.500,5.500,5.500,5.500,5.57
02/01/2002,5.210,5.210,5.210,5.210,1.05
01/01/2002,5.156,5.156,5.156,5.156,-1.62
12/01/2001,5.241,5.241,5.241,5.241,7.24
11/01/2001,4.887,4.887,4.887,4.887,3.45
10/01/2001,4.724,4.724,4.724,4.724,-8.63
09/01/2001,5.170,5.170,5.170,5.170,0.23
08/01/2001,5.158,5.158,5.158,5.158,-2.18
07/01/2001,5.273,5.273,5.273,5.273,-4.13
06/01/2001,5.500,5.500,5.500,5.500,-0.54
05/01/2001,5.530,5.530,5.530,5.530,2.18
04/01/2001,5.412,5.412,5.412,5.412,5.83
03/01/2001,5.114,5.114,5.114,5.114,-0.85
