Date,Price,Open,High,Low,Vol.,Change 
12/01/2019,1.0849,1.1019,1.1041,1.0836,,-1.49
11/01/2019,1.1013,1.1001,1.1036,1.0862,,0.15
10/01/2019,1.0997,1.0878,1.1062,1.0849,,1.13
09/01/2019,1.0874,1.0876,1.1021,1.0809,,-0.04
08/01/2019,1.0878,1.1009,1.1022,1.0833,,-1.15
07/01/2019,1.1005,1.1100,1.1175,1.0961,,-0.81
06/01/2019,1.1095,1.1179,1.1269,1.1056,,-0.84
05/01/2019,1.1189,1.1431,1.1444,1.1170,,-2.08
04/01/2019,1.1427,1.1166,1.1480,1.1160,,2.36
03/01/2019,1.1163,1.1353,1.1390,1.1161,,-1.63
02/01/2019,1.1348,1.1382,1.1448,1.1307,,-0.28
01/01/2019,1.1380,1.1255,1.1439,1.1181,,1.10
12/01/2018,1.1256,1.1301,1.1355,1.1186,,-0.39
11/01/2018,1.1300,1.1408,1.1477,1.1257,,-0.91
10/01/2018,1.1404,1.1400,1.1504,1.1312,,0.05
09/01/2018,1.1398,1.1234,1.1419,1.1180,,1.44
08/01/2018,1.1236,1.1578,1.1605,1.1234,,-2.93
07/01/2018,1.1575,1.1542,1.1718,1.1528,,0.05
06/01/2018,1.1569,1.1525,1.1659,1.1478,,0.40
05/01/2018,1.1523,1.1969,1.1984,1.1366,,-3.67
04/01/2018,1.1962,1.1758,1.2009,1.1734,,1.83
03/01/2018,1.1747,1.1519,1.1806,1.1494,,2.02
02/01/2018,1.1514,1.1563,1.1644,1.1448,,-0.45
01/01/2018,1.1566,1.1695,1.1835,1.1538,,-1.04
12/01/2017,1.1688,1.1709,1.1780,1.1585,,-0.14
11/01/2017,1.1704,1.1619,1.1726,1.1541,,0.77
10/01/2017,1.1615,1.1442,1.1716,1.1386,,1.58
09/01/2017,1.1434,1.1418,1.1626,1.1345,,0.18
08/01/2017,1.1413,1.1446,1.1541,1.1257,,-0.30
07/01/2017,1.1447,1.0944,1.1459,1.0921,,4.60
06/01/2017,1.0944,1.0881,1.0956,1.0831,,0.62
05/01/2017,1.0877,1.0855,1.0991,1.0790,,0.33
04/01/2017,1.0841,1.0694,1.0872,1.0654,,1.49
03/01/2017,1.0682,1.0637,1.0827,1.0632,,0.45
02/01/2017,1.0634,1.0682,1.0721,1.0625,,-0.42
01/01/2017,1.0679,1.0725,1.0763,1.0633,,-0.20
12/01/2016,1.0700,1.0767,1.0905,1.0673,,-0.65
11/01/2016,1.0770,1.0860,1.0879,1.0681,,-0.80
10/01/2016,1.0857,1.0917,1.0982,1.0793,,-0.55
09/01/2016,1.0917,1.0978,1.1006,1.0805,,-0.49
08/01/2016,1.0971,1.0840,1.0995,1.0790,,1.36
07/01/2016,1.0824,1.0840,1.0962,1.0786,,-0.11
06/01/2016,1.0836,1.1061,1.1115,1.0616,,-1.99
05/01/2016,1.1056,1.0972,1.1134,1.0956,,0.60
04/01/2016,1.0990,1.0946,1.1026,1.0841,,0.50
