Date,Price,Open,High,Low,Vol.,Change 
03/01/2011,37.900,33.900,38.180,33.565,1.44,12.06
02/01/2011,33.820,28.100,34.235,28.015,120.25,20.02
01/01/2011,28.179,30.930,31.275,26.540,1.17,-8.91
12/01/2010,30.937,28.195,30.975,28.100,45.60,9.71
11/01/2010,28.199,24.845,29.300,24.000,93.26,14.70
10/01/2010,24.585,21.770,24.950,21.725,1.09,12.67
09/01/2010,21.821,19.360,22.125,19.360,91.17,12.38
08/01/2010,19.418,18.025,19.315,17.785,18.20,7.76
07/01/2010,18.020,18.650,18.690,17.325,518.78,-3.68
06/01/2010,18.708,17.650,19.460,17.385,61.33,1.45
05/01/2010,18.440,18.685,19.845,17.080,772.18,-1.07
04/01/2010,18.639,17.950,18.790,17.510,72.49,6.27
03/01/2010,17.540,16.525,17.665,16.330,615.16,6.17
02/01/2010,16.521,16.210,16.790,14.695,79.34,1.98
01/01/2010,16.200,16.940,18.925,16.265,603.83,-3.83
12/01/2009,16.845,18.405,19.265,16.765,33.28,-9.03
11/01/2009,18.517,16.405,18.915,16.310,3.22,13.85
10/01/2009,16.265,16.665,18.175,15.920,647.63,-2.36
09/01/2009,16.658,15.230,17.425,15.230,54.57,11.69
08/01/2009,14.914,14.680,15.050,13.570,0.39,6.83
07/01/2009,13.960,13.610,14.095,12.435,372.87,2.65
06/01/2009,13.600,15.360,15.920,13.455,42.21,-12.94
05/01/2009,15.622,12.370,15.020,12.025,320.29,26.75
04/01/2009,12.325,12.565,13.210,11.795,43.83,-5.19
03/01/2009,12.999,13.100,13.885,11.890,344.35,-0.85
02/01/2009,13.110,13.145,14.585,12.825,64.08,4.25
01/01/2009,12.575,11.405,12.285,10.320,331.35,11.33
12/01/2008,11.295,9.370,11.450,9.215,17.60,10.65
11/01/2008,10.208,9.885,10.645,8.830,1.12,4.88
10/01/2008,9.733,12.135,13.080,8.400,514.27,-20.71
09/01/2008,12.275,12.475,13.560,10.300,56.74,-10.21
08/01/2008,13.671,17.185,17.200,12.510,0.43,-23.37
07/01/2008,17.841,17.505,19.550,17.045,581.82,1.89
06/01/2008,17.510,16.910,17.980,16.380,60.34,3.53
05/01/2008,16.913,16.920,18.375,16.055,464.26,1.93
04/01/2008,16.593,16.935,18.750,16.455,57.01,-4.39
