Date,Price,Open,High,Low,Change 
06/01/2005,3.246,3.246,3.246,3.246,-4.84
05/01/2005,3.411,3.411,3.411,3.411,-2.38
04/01/2005,3.494,3.494,3.494,3.494,-6.90
03/01/2005,3.753,3.753,3.753,3.753,1.41
02/01/2005,3.701,3.701,3.701,3.701,4.61
01/01/2005,3.538,3.538,3.538,3.538,-3.96
12/01/2004,3.684,3.684,3.684,3.684,-3.71
11/01/2004,3.826,3.826,3.826,3.826,-2.94
10/01/2004,3.942,3.942,3.942,3.942,-3.14
09/01/2004,4.070,4.070,4.070,4.070,-2.09
08/01/2004,4.157,4.157,4.157,4.157,-4.46
07/01/2004,4.351,4.351,4.351,4.351,-2.11
06/01/2004,4.445,4.445,4.445,4.445,0.84
05/01/2004,4.408,4.408,4.408,4.408,1.94
04/01/2004,4.324,4.324,4.324,4.324,5.51
03/01/2004,4.098,4.098,4.098,4.098,-2.89
02/01/2004,4.220,4.220,4.220,4.220,-4.24
01/01/2004,4.407,4.407,4.407,4.407,1.33
12/01/2003,4.349,4.349,4.349,4.349,-3.42
11/01/2003,4.503,4.503,4.503,4.503,3.49
10/01/2003,4.351,4.351,4.351,4.351,6.88
09/01/2003,4.071,4.071,4.071,4.071,-3.85
08/01/2003,4.234,4.234,4.234,4.234,-1.01
07/01/2003,4.277,4.277,4.277,4.277,9.67
06/01/2003,3.900,3.900,3.900,3.900,2.31
05/01/2003,3.812,3.812,3.812,3.812,-8.78
04/01/2003,4.179,4.179,4.179,4.179,0.24
03/01/2003,4.169,4.169,4.169,4.169,3.17
02/01/2003,4.041,4.041,4.041,4.041,-4.47
01/01/2003,4.230,4.230,4.230,4.230,-1.79
12/01/2002,4.307,4.307,4.307,4.307,-6.47
11/01/2002,4.605,4.605,4.605,4.605,-0.63
10/01/2002,4.634,4.634,4.634,4.634,3.51
09/01/2002,4.477,4.477,4.477,4.477,-5.85
08/01/2002,4.755,4.755,4.755,4.755,-4.31
07/01/2002,4.969,4.969,4.969,4.969,-4.18
06/01/2002,5.186,5.186,5.186,5.186,-3.82
05/01/2002,5.392,5.392,5.392,5.392,0.84
04/01/2002,5.347,5.347,5.347,5.347,-2.23
03/01/2002,5.469,5.469,5.469,5.469,5.82
02/01/2002,5.168,5.168,5.168,5.168,0.88
01/01/2002,5.123,5.123,5.123,5.123,-1.33
12/01/2001,5.192,5.192,5.192,5.192,7.49
11/01/2001,4.830,4.830,4.830,4.830,3.63
10/01/2001,4.661,4.661,4.661,4.661,-7.35
09/01/2001,5.031,5.031,5.031,5.031,-0.57
08/01/2001,5.060,5.060,5.060,5.060,-2.37
07/01/2001,5.183,5.183,5.183,5.183,-4.46
