Date,Price,Open,High,Low,Change 
01/01/2014,1.878,2.270,2.276,1.861,-15.94
12/01/2013,2.234,2.043,2.269,2.032,9.72
11/01/2013,2.036,2.012,2.132,1.995,0.30
10/01/2013,2.030,2.173,2.306,1.999,-6.75
09/01/2013,2.177,2.335,2.474,2.162,-4.89
08/01/2013,2.289,1.985,2.373,1.981,11.55
07/01/2013,2.052,2.120,2.166,1.939,-3.02
06/01/2013,2.116,1.845,2.309,1.835,14.50
05/01/2013,1.848,1.558,1.872,1.518,17.48
04/01/2013,1.573,1.772,1.783,1.546,-11.48
03/01/2013,1.777,1.810,1.834,1.626,-1.71
02/01/2013,1.808,1.976,2.001,1.762,-3.68
01/01/2013,1.877,1.555,1.918,1.552,25.38
12/01/2012,1.497,1.601,1.677,1.481,-6.50
11/01/2012,1.601,1.734,1.753,1.580,-7.99
10/01/2012,1.740,1.718,1.889,1.686,1.69
09/01/2012,1.711,1.703,1.969,1.696,-0.75
08/01/2012,1.724,1.634,1.954,1.551,5.64
07/01/2012,1.632,2.099,2.118,1.556,-22.36
06/01/2012,2.102,1.624,2.219,1.485,29.67
05/01/2012,1.621,2.261,2.269,1.618,-27.63
04/01/2012,2.240,2.365,2.447,2.205,-4.52
03/01/2012,2.346,2.305,2.618,2.227,2.13
02/01/2012,2.297,2.157,2.477,2.132,6.34
01/01/2012,2.160,2.175,2.336,2.020,-0.83
12/01/2011,2.178,2.688,2.707,2.166,-18.40
11/01/2011,2.669,2.275,2.805,2.129,9.16
10/01/2011,2.445,2.228,2.654,2.100,6.91
09/01/2011,2.287,2.645,2.645,2.130,-12.11
08/01/2011,2.602,2.998,3.000,2.411,-11.89
07/01/2011,2.953,3.348,3.375,2.946,-11.69
06/01/2011,3.344,3.333,3.379,3.186,0.63
05/01/2011,3.323,3.511,3.622,3.243,-5.30
04/01/2011,3.509,3.689,3.787,3.509,-3.84
03/01/2011,3.649,3.379,3.677,3.336,8.54
02/01/2011,3.362,3.363,3.544,3.292,1.05
01/01/2011,3.327,3.130,3.420,3.048,5.82
12/01/2010,3.144,2.988,3.299,2.932,6.14
11/01/2010,2.962,2.744,3.061,2.579,8.58
10/01/2010,2.728,2.529,2.811,2.409,8.43
09/01/2010,2.516,2.311,2.725,2.302,9.63
08/01/2010,2.295,2.902,2.919,2.271,-20.62
07/01/2010,2.891,2.820,2.975,2.767,2.66
06/01/2010,2.816,2.833,3.011,2.777,-1.92
05/01/2010,2.871,3.269,3.299,2.796,-11.72
04/01/2010,3.252,3.333,3.461,3.183,-2.31
03/01/2010,3.329,3.422,3.485,3.309,-1.97
02/01/2010,3.396,3.410,3.570,3.352,-0.76
01/01/2010,3.422,3.591,3.592,3.368,-3.77
12/01/2009,3.556,3.411,3.575,3.322,4.25
11/01/2009,3.411,3.518,3.654,3.382,-2.90
10/01/2009,3.513,3.546,3.670,3.414,0.57
09/01/2009,3.493,3.565,3.697,3.470,-2.43
08/01/2009,3.580,3.650,3.776,3.505,-1.13
07/01/2009,3.621,3.824,3.899,3.614,-4.99
06/01/2009,3.811,4.023,4.167,3.783,-5.13
05/01/2009,4.017,3.698,4.079,3.639,9.01
04/01/2009,3.685,3.722,3.926,3.636,-1.31
03/01/2009,3.734,3.864,3.930,3.660,-4.01
02/01/2009,3.890,3.973,4.049,3.772,-1.97
01/01/2009,3.968,3.612,4.170,3.471,11.65
12/01/2008,3.554,3.683,3.916,3.418,-3.03
11/01/2008,3.665,4.433,4.440,3.639,-16.57
10/01/2008,4.393,4.330,4.443,3.996,1.15
09/01/2008,4.343,4.383,4.556,4.198,-0.94
08/01/2008,4.384,4.545,4.566,4.277,-3.50
07/01/2008,4.543,4.818,4.886,4.524,-5.55
06/01/2008,4.810,4.617,4.877,4.468,4.52
05/01/2008,4.602,4.329,4.654,4.197,6.31
04/01/2008,4.329,4.140,4.459,4.118,4.57
03/01/2008,4.140,4.055,4.200,3.912,2.10
02/01/2008,4.055,4.026,4.274,3.911,0.27
01/01/2008,4.044,4.397,4.438,3.868,-8.26
12/01/2007,4.408,4.225,4.459,4.114,3.91
11/01/2007,4.242,4.407,4.429,4.092,-2.68
10/01/2007,4.359,4.359,4.359,4.359,-1.74
09/01/2007,4.436,4.436,4.436,4.436,2.12
08/01/2007,4.344,4.344,4.344,4.344,-2.03
07/01/2007,4.434,4.434,4.434,4.434,-3.31
06/01/2007,4.586,4.586,4.586,4.586,3.22
05/01/2007,4.443,4.443,4.443,4.443,6.06
04/01/2007,4.189,4.189,4.189,4.189,2.20
03/01/2007,4.099,4.099,4.099,4.099,2.81
02/01/2007,3.987,3.987,3.987,3.987,-3.09
01/01/2007,4.114,4.114,4.114,4.114,3.19
12/01/2006,3.987,3.987,3.987,3.987,7.58
11/01/2006,3.706,3.706,3.706,3.706,-1.46
10/01/2006,3.761,3.761,3.761,3.761,0.89
09/01/2006,3.728,3.728,3.728,3.728,-1.14
08/01/2006,3.771,3.771,3.771,3.771,-4.22
07/01/2006,3.937,3.937,3.937,3.937,-2.57
06/01/2006,4.041,4.041,4.041,4.041,2.02
05/01/2006,3.961,3.961,3.961,3.961,0.25
04/01/2006,3.951,3.951,3.951,3.951,4.11
03/01/2006,3.795,3.795,3.795,3.795,8.99
02/01/2006,3.482,3.482,3.482,3.482,0.43
01/01/2006,3.467,3.467,3.467,3.467,5.35
12/01/2005,3.291,3.291,3.291,3.291,-4.16
11/01/2005,3.434,3.434,3.434,3.434,0.70
10/01/2005,3.410,3.410,3.410,3.410,7.37
09/01/2005,3.176,3.176,3.176,3.176,1.44
08/01/2005,3.131,3.131,3.131,3.131,-4.57
07/01/2005,3.281,3.281,3.281,3.281,3.76
06/01/2005,3.162,3.162,3.162,3.162,-1.40
05/01/2005,3.207,3.207,3.207,3.207,-4.89
04/01/2005,3.372,3.372,3.372,3.372,-6.23
03/01/2005,3.596,3.596,3.596,3.596,-2.97
02/01/2005,3.706,3.706,3.706,3.706,5.25
01/01/2005,3.521,3.521,3.521,3.521,-3.72
12/01/2004,3.657,3.657,3.657,3.657,-3.00
11/01/2004,3.770,3.770,3.770,3.770,-3.73
10/01/2004,3.916,3.916,3.916,3.916,-3.28
09/01/2004,4.049,4.049,4.049,4.049,-0.56
08/01/2004,4.072,4.072,4.072,4.072,-4.55
07/01/2004,4.266,4.266,4.266,4.266,-2.45
06/01/2004,4.373,4.373,4.373,4.373,-1.33
05/01/2004,4.432,4.432,4.432,4.432,3.99
04/01/2004,4.262,4.262,4.262,4.262,5.55
03/01/2004,4.038,4.038,4.038,4.038,0.05
02/01/2004,4.036,4.036,4.036,4.036,-4.72
01/01/2004,4.236,4.236,4.236,4.236,-1.19
12/01/2003,4.287,4.287,4.287,4.287,-4.07
11/01/2003,4.469,4.469,4.469,4.469,3.26
10/01/2003,4.328,4.328,4.328,4.328,7.42
09/01/2003,4.029,4.029,4.029,4.029,-3.77
08/01/2003,4.187,4.187,4.187,4.187,-1.09
07/01/2003,4.233,4.233,4.233,4.233,9.46
06/01/2003,3.867,3.867,3.867,3.867,2.65
05/01/2003,3.767,3.767,3.767,3.767,-8.86
04/01/2003,4.133,4.133,4.133,4.133,0.56
03/01/2003,4.110,4.110,4.110,4.110,3.14
02/01/2003,3.985,3.985,3.985,3.985,-2.26
01/01/2003,4.077,4.077,4.077,4.077,-3.27
12/01/2002,4.215,4.215,4.215,4.215,-7.16
11/01/2002,4.540,4.540,4.540,4.540,-0.44
10/01/2002,4.560,4.560,4.560,4.560,4.01
