Date,Price,Open,High,Low,Vol.,Change 
12/01/2022,1.0702,1.0407,1.0737,1.0393,,2.85
11/01/2022,1.0405,0.9882,1.0497,0.9729,,5.28
10/01/2022,0.9883,0.9800,1.0094,0.9632,,0.86
09/01/2022,0.9799,1.0055,1.0199,0.9535,,-2.57
08/01/2022,1.0057,1.0218,1.0369,0.9900,,-1.58
07/01/2022,1.0218,1.0481,1.0487,0.9952,,-2.52
06/01/2022,1.0482,1.0734,1.0775,1.0359,,-2.34
05/01/2022,1.0733,1.0550,1.0788,1.0350,,1.82
04/01/2022,1.0541,1.1065,1.1077,1.0471,,-4.74
03/01/2022,1.1065,1.1218,1.1234,1.0805,,-1.37
02/01/2022,1.1219,1.1234,1.1496,1.1106,,-0.12
01/01/2022,1.1233,1.1365,1.1484,1.1121,,-1.19
12/01/2021,1.1368,1.1339,1.1387,1.1221,,0.28
11/01/2021,1.1336,1.1559,1.1617,1.1185,,-1.95
10/01/2021,1.1561,1.1582,1.1693,1.1524,,-0.17
09/01/2021,1.1581,1.1810,1.1910,1.1562,,-1.91
08/01/2021,1.1807,1.1864,1.1901,1.1664,,-0.53
07/01/2021,1.1870,1.1859,1.1910,1.1752,,0.13
06/01/2021,1.1855,1.2227,1.2255,1.1845,,-3.03
05/01/2021,1.2225,1.2031,1.2267,1.1985,,1.72
04/01/2021,1.2018,1.1731,1.2150,1.1712,,2.47
03/01/2021,1.1728,1.2079,1.2113,1.1703,,-2.87
02/01/2021,1.2074,1.2140,1.2243,1.1952,,-0.51
01/01/2021,1.2136,1.2216,1.2350,1.2054,,-0.63
12/01/2020,1.2213,1.1928,1.2311,1.1926,,2.39
11/01/2020,1.1928,1.1658,1.2004,1.1603,,2.41
10/01/2020,1.1647,1.1719,1.1882,1.1639,,-0.61
09/01/2020,1.1718,1.1936,1.2012,1.1612,,-1.83
08/01/2020,1.1936,1.1783,1.1967,1.1696,,1.38
07/01/2020,1.1774,1.1233,1.1910,1.1185,,4.83
06/01/2020,1.1231,1.1097,1.1423,1.1095,,1.20
05/01/2020,1.1098,1.0956,1.1146,1.0766,,1.31
04/01/2020,1.0955,1.1031,1.1040,1.0726,,-0.67
03/01/2020,1.1029,1.1003,1.1494,1.0637,,0.04
02/01/2020,1.1025,1.1092,1.1096,1.0776,,-0.61
01/01/2020,1.1093,1.1213,1.1227,1.0991,,-1.04
12/01/2019,1.1210,1.1014,1.1240,1.1003,,1.77
11/01/2019,1.1015,1.1152,1.1176,1.0980,,-1.21
10/01/2019,1.1150,1.0900,1.1180,1.0878,,2.31
09/01/2019,1.0898,1.0989,1.1110,1.0884,,-0.83
08/01/2019,1.0989,1.1076,1.1250,1.0963,,-0.77
07/01/2019,1.1074,1.1376,1.1376,1.1059,,-2.59
06/01/2019,1.1368,1.1168,1.1413,1.1156,,1.80
05/01/2019,1.1167,1.1215,1.1266,1.1107,,-0.43
04/01/2019,1.1215,1.1218,1.1327,1.1111,,-0.02
03/01/2019,1.1217,1.1371,1.1450,1.1176,,-1.35
02/01/2019,1.1370,1.1447,1.1489,1.1233,,-0.65
01/01/2019,1.1444,1.1466,1.1571,1.1288,,-0.22
12/01/2018,1.1469,1.1314,1.1487,1.1268,,1.36
11/01/2018,1.1315,1.1311,1.1501,1.1214,,0.04
10/01/2018,1.1310,1.1608,1.1629,1.1301,,-2.57
09/01/2018,1.1608,1.1596,1.1816,1.1525,,0.08
08/01/2018,1.1599,1.1691,1.1734,1.1299,,-0.79
07/01/2018,1.1691,1.1651,1.1791,1.1573,,0.07
06/01/2018,1.1683,1.1693,1.1853,1.1508,,-0.06
05/01/2018,1.1690,1.2077,1.2088,1.1509,,-3.20
04/01/2018,1.2077,1.2323,1.2414,1.2055,,-1.98
03/01/2018,1.2321,1.2194,1.2477,1.2155,,1.05
02/01/2018,1.2193,1.2414,1.2556,1.2188,,-1.83
01/01/2018,1.2420,1.2002,1.2538,1.1916,,3.53
12/01/2017,1.1996,1.1904,1.2030,1.1717,,0.79
11/01/2017,1.1902,1.1646,1.1961,1.1553,,2.22
10/01/2017,1.1644,1.1818,1.1881,1.1574,,-1.42
09/01/2017,1.1812,1.1910,1.2093,1.1717,,-0.81
