Date,Price,Open,High,Low,Change 
05/01/2019,0.149,0.349,0.363,0.135,-55.39
04/01/2019,0.334,0.300,0.426,0.280,25.09
03/01/2019,0.267,0.451,0.462,0.238,-39.86
02/01/2019,0.444,0.411,0.452,0.337,8.03
01/01/2019,0.411,0.520,0.558,0.407,-24.73
12/01/2018,0.546,0.624,0.624,0.514,-8.24
11/01/2018,0.595,0.655,0.738,0.592,-7.75
10/01/2018,0.645,0.733,0.829,0.618,-11.16
09/01/2018,0.726,0.533,0.774,0.510,39.35
08/01/2018,0.521,0.614,0.653,0.487,-13.02
07/01/2018,0.599,0.536,0.623,0.468,10.11
06/01/2018,0.544,0.642,0.757,0.534,-10.82
05/01/2018,0.610,0.728,0.795,0.480,-13.84
04/01/2018,0.708,0.643,0.795,0.614,13.46
03/01/2018,0.624,0.775,0.809,0.621,-19.90
02/01/2018,0.779,0.817,0.893,0.772,-3.95
01/01/2018,0.811,0.622,0.827,0.577,34.49
12/01/2017,0.603,0.526,0.611,0.435,14.64
11/01/2017,0.526,0.526,0.580,0.466,1.94
10/01/2017,0.516,0.631,0.668,0.510,-17.04
09/01/2017,0.622,0.362,0.677,0.283,75.71
08/01/2017,0.354,0.546,0.547,0.340,-33.58
07/01/2017,0.533,0.511,0.634,0.475,5.13
06/01/2017,0.507,0.370,0.543,0.289,44.03
05/01/2017,0.352,0.421,0.526,0.338,-15.18
04/01/2017,0.415,0.445,0.510,0.280,-6.95
03/01/2017,0.446,0.380,0.623,0.363,26.70
02/01/2017,0.352,0.646,0.670,0.336,-43.13
01/01/2017,0.619,0.351,0.693,0.303,73.88
12/01/2016,0.356,0.437,0.615,0.313,-23.61
11/01/2016,0.466,0.310,0.627,0.270,57.97
10/01/2016,0.295,0.032,0.345,0.026,953.57
09/01/2016,0.028,0.083,0.188,-0.031,-61.64
08/01/2016,0.073,0.031,0.139,0.003,204.17
07/01/2016,0.024,0.168,0.220,0.014,-84.71
06/01/2016,0.157,0.411,0.436,0.147,-62.35
05/01/2016,0.417,0.566,0.585,0.376,-27.85
04/01/2016,0.578,0.442,0.613,0.350,31.36
03/01/2016,0.440,0.439,0.633,0.396,4.27
02/01/2016,0.422,0.574,0.627,0.392,-27.37
01/01/2016,0.581,0.867,0.900,0.581,-37.53
12/01/2015,0.930,0.756,0.987,0.699,27.92
11/01/2015,0.727,0.795,0.975,0.685,-6.79
10/01/2015,0.780,0.882,0.906,0.689,-10.34
09/01/2015,0.870,0.944,1.044,0.841,-10.68
08/01/2015,0.974,0.812,0.976,0.713,21.30
07/01/2015,0.803,1.013,1.159,0.775,-20.34
06/01/2015,1.008,0.639,1.213,0.611,58.49
05/01/2015,0.636,0.477,0.917,0.460,33.89
04/01/2015,0.475,0.333,0.490,0.165,45.71
03/01/2015,0.326,0.465,0.568,0.288,-27.88
02/01/2015,0.452,0.358,0.539,0.335,31.01
01/01/2015,0.345,0.660,0.668,0.330,-46.84
12/01/2014,0.649,0.771,0.873,0.647,-16.37
11/01/2014,0.776,0.948,0.986,0.769,-19.17
10/01/2014,0.960,1.054,1.083,0.874,-9.09
09/01/2014,1.056,1.042,1.231,1.039,0.48
08/01/2014,1.051,1.301,1.332,1.016,-18.84
07/01/2014,1.295,1.456,1.511,1.246,-10.44
06/01/2014,1.446,1.604,1.735,1.436,-9.91
05/01/2014,1.605,1.755,1.797,1.567,-8.91
04/01/2014,1.762,1.884,1.943,1.759,-5.78
03/01/2014,1.870,1.869,1.993,1.807,-2.81
02/01/2014,1.924,1.785,2.022,1.724,8.39
01/01/2014,1.775,2.168,2.172,1.761,-17.44
12/01/2013,2.150,1.923,2.162,1.908,13.10
11/01/2013,1.901,1.895,2.023,1.871,0.85
10/01/2013,1.885,2.015,2.191,1.868,-6.03
09/01/2013,2.006,2.184,2.332,2.001,-6.22
08/01/2013,2.139,1.872,2.250,1.843,10.83
07/01/2013,1.930,2.006,2.055,1.789,-4.46
06/01/2013,2.020,1.743,2.199,1.739,15.76
05/01/2013,1.745,1.459,1.778,1.416,18.47
04/01/2013,1.473,1.550,1.583,1.388,-4.84
03/01/2013,1.548,1.654,1.701,1.503,-7.42
02/01/2013,1.672,1.889,1.912,1.638,-10.68
01/01/2013,1.872,1.598,1.914,1.592,23.65
12/01/2012,1.514,1.623,1.706,1.505,-7.96
11/01/2012,1.645,1.735,1.778,1.591,-4.58
10/01/2012,1.724,1.739,1.906,1.628,-1.15
09/01/2012,1.744,1.462,1.968,1.451,18.56
08/01/2012,1.471,1.471,1.471,1.471,2.22
07/01/2012,1.439,1.439,1.439,1.439,-25.52
06/01/2012,1.932,1.932,1.932,1.932,28.71
05/01/2012,1.501,1.501,1.501,1.501,-27.73
04/01/2012,2.077,2.077,2.077,2.077,-9.42
03/01/2012,2.293,2.293,2.293,2.293,1.46
02/01/2012,2.260,2.260,2.260,2.260,-0.22
01/01/2012,2.265,2.265,2.265,2.265,-1.99
12/01/2011,2.311,2.311,2.311,2.311,-18.68
11/01/2011,2.842,2.842,2.842,2.842,14.69
10/01/2011,2.478,2.478,2.478,2.478,5.81
09/01/2011,2.342,2.342,2.342,2.342,-12.19
08/01/2011,2.667,2.667,2.667,2.667,-9.19
07/01/2011,2.937,2.937,2.937,2.937,-12.01
06/01/2011,3.338,3.338,3.338,3.338,0.97
05/01/2011,3.306,3.306,3.306,3.306,-2.99
04/01/2011,3.408,3.408,3.408,3.408,-4.75
03/01/2011,3.578,3.578,3.578,3.578,5.92
02/01/2011,3.378,3.378,3.378,3.378,0.66
01/01/2011,3.356,3.356,3.356,3.356,5.73
12/01/2010,3.174,3.174,3.174,3.174,6.98
11/01/2010,2.967,2.967,2.967,2.967,8.17
10/01/2010,2.743,2.743,2.743,2.743,8.68
09/01/2010,2.524,2.524,2.524,2.524,5.74
08/01/2010,2.387,2.387,2.387,2.387,-17.29
07/01/2010,2.886,2.886,2.886,2.886,0.56
06/01/2010,2.870,2.870,2.870,2.870,-0.42
05/01/2010,2.882,2.882,2.882,2.882,-10.94
04/01/2010,3.236,3.236,3.236,3.236,-3.23
03/01/2010,3.344,3.344,3.344,3.344,2.89
02/01/2010,3.250,3.250,3.250,3.250,-5.22
01/01/2010,3.429,3.429,3.429,3.429,-3.87
12/01/2009,3.567,3.567,3.567,3.567,4.39
11/01/2009,3.417,3.417,3.417,3.417,-2.98
10/01/2009,3.522,3.522,3.522,3.522,-0.14
09/01/2009,3.527,3.527,3.527,3.527,-1.48
08/01/2009,3.580,3.580,3.580,3.580,-0.83
07/01/2009,3.610,3.610,3.610,3.610,-5.10
06/01/2009,3.804,3.804,3.804,3.804,-5.35
05/01/2009,4.019,4.019,4.019,4.019,8.50
04/01/2009,3.704,3.704,3.704,3.704,-1.23
03/01/2009,3.750,3.750,3.750,3.750,-4.26
02/01/2009,3.917,3.917,3.917,3.917,-3.81
01/01/2009,4.072,4.072,4.072,4.072,10.29
12/01/2008,3.692,3.692,3.692,3.692,-2.66
11/01/2008,3.793,3.793,3.793,3.793,-14.61
10/01/2008,4.442,4.442,4.442,4.442,1.72
09/01/2008,4.367,4.367,4.367,4.367,-2.24
08/01/2008,4.467,4.467,4.467,4.467,-2.91
07/01/2008,4.601,4.601,4.601,4.601,-5.83
06/01/2008,4.886,4.886,4.886,4.886,4.87
05/01/2008,4.659,4.659,4.659,4.659,5.45
04/01/2008,4.418,4.418,4.418,4.418,8.87
03/01/2008,4.058,4.058,4.058,4.058,2.35
02/01/2008,3.965,3.965,3.965,3.965,-1.86
01/01/2008,4.040,4.040,4.040,4.040,-8.45
12/01/2007,4.413,4.413,4.413,4.413,4.01
11/01/2007,4.243,4.243,4.243,4.243,-3.35
10/01/2007,4.390,4.390,4.390,4.390,-0.86
09/01/2007,4.428,4.428,4.428,4.428,2.07
08/01/2007,4.338,4.338,4.338,4.338,-1.30
07/01/2007,4.395,4.395,4.395,4.395,-4.81
06/01/2007,4.617,4.617,4.617,4.617,3.68
05/01/2007,4.453,4.453,4.453,4.453,6.51
04/01/2007,4.181,4.181,4.181,4.181,1.70
03/01/2007,4.111,4.111,4.111,4.111,3.14
02/01/2007,3.986,3.986,3.986,3.986,-3.63
01/01/2007,4.136,4.136,4.136,4.136,3.61
12/01/2006,3.992,3.992,3.992,3.992,7.69
11/01/2006,3.707,3.707,3.707,3.707,-1.98
10/01/2006,3.782,3.782,3.782,3.782,0.83
09/01/2006,3.751,3.751,3.751,3.751,-1.16
08/01/2006,3.795,3.795,3.795,3.795,-4.17
07/01/2006,3.960,3.960,3.960,3.960,-3.56
06/01/2006,4.106,4.106,4.106,4.106,1.71
05/01/2006,4.037,4.037,4.037,4.037,3.01
04/01/2006,3.919,3.919,3.919,3.919,4.40
03/01/2006,3.754,3.754,3.754,3.754,8.97
02/01/2006,3.445,3.445,3.445,3.445,0.53
01/01/2006,3.427,3.427,3.427,3.427,5.90
12/01/2005,3.236,3.236,3.236,3.236,-3.92
11/01/2005,3.368,3.368,3.368,3.368,1.05
10/01/2005,3.333,3.333,3.333,3.333,7.31
09/01/2005,3.106,3.106,3.106,3.106,1.80
08/01/2005,3.051,3.051,3.051,3.051,-4.69
07/01/2005,3.201,3.201,3.201,3.201,3.96
06/01/2005,3.079,3.079,3.079,3.079,-4.76
05/01/2005,3.233,3.233,3.233,3.233,-4.83
04/01/2005,3.397,3.397,3.397,3.397,-6.11
03/01/2005,3.618,3.618,3.618,3.618,-2.74
02/01/2005,3.720,3.720,3.720,3.720,5.03
01/01/2005,3.542,3.542,3.542,3.542,-4.04
12/01/2004,3.691,3.691,3.691,3.691,-3.43
11/01/2004,3.822,3.822,3.822,3.822,-3.44
10/01/2004,3.958,3.958,3.958,3.958,-3.04
09/01/2004,4.082,4.082,4.082,4.082,-0.90
08/01/2004,4.119,4.119,4.119,4.119,-4.28
07/01/2004,4.303,4.303,4.303,4.303,-2.65
